grid;average_efficiencies;std_efficiencies;average_n_moves;std_n_moves;average_cleaned;std_cleaned;randomness_move;gamma
death.grid;90.23131868131871;11.939216265423367;7.42;2.6122021361295915;81.85714285714288;29.887885744657726;0.25;0; 
death.grid;100.0;0.0;7.0;0.0;100.0;0.0;0;0; 
death.grid;70.82974042312902;22.09291353322634;10.96;6.780737423024136;58.85714285714286;40.62169923796384;0.25;0.2; 
death.grid;100.0;0.0;7.0;0.0;100.0;0.0;0;0.2; 
death.grid;98.8909090909091;4.159187778305593;2.78;1.8252671037412582;24.142857142857114;25.690067960920906;0.25;0.4; 
death.grid;100.0;0.0;7.0;0.0;100.0;0.0;0;0.1; 
death.grid;70.94603529810644;20.956557441951393;11.37;6.914701728925118;68.42857142857149;38.771702283484835;0.25;0.1; 
death.grid;100.0;0.0;7.0;0.0;100.0;0.0;0;0.4; 
death.grid;98.8;4.749736834815168;2.39;1.4553006562219366;17.142857142857125;14.846149779161806;0.25;0.3; 
death.grid;100.0;0.0;7.0;0.0;100.0;0.0;0;0.3; 
death.grid;100.0;0.0;7.0;0.0;100.0;0.0;0;0.6; 
death.grid;86.8413239237543;15.276053972273555;6.9;3.430743359681689;56.14285714285717;25.734515851720406;0.5;0; 
death.grid;99.63636363636364;2.5454545454545467;2.69;1.90627909813857;24.571428571428537;27.85384595875187;0.25;0.5; 
death.grid;99.15454545454546;3.493216566929551;2.72;1.8925115587493775;23.714285714285676;25.731740107882164;0.25;0.6; 
death.grid;96.50139860139862;8.37030194310861;3.2;2.275961335348209;23.285714285714267;16.61754666438031;0.5;0.2; 
death.grid;97.0909090909091;6.5624778630087075;2.92;1.553576518875076;21.142857142857125;15.711688096991452;0.5;0.1; 
death.grid;100.0;0.0;7.0;0.0;100.0;0.0;0;0.5; 
death.grid;96.86503496503498;7.304970249543542;3.04;1.9283153269110318;22.42857142857141;18.87174759111771;0.5;0.4; 
death.grid;97.20734265734266;6.527565909661377;3.07;1.5508384828859516;23.428571428571413;17.672762393362415;0.5;0.3; 
death.grid;90.48592657342662;10.886367152449122;7.45;2.4387496796514396;83.85714285714288;27.895943674114836;0.25;0.8; 
death.grid;100.0;0.0;7.0;0.0;100.0;0.0;0;0.8; 
death.grid;84.82191280082151;16.976449164599508;6.71;4.222072950577714;47.42857142857143;29.268636135366638;0.75;0; 
death.grid;97.45;5.499772722576815;2.87;1.3903596656980526;20.57142857142855;13.749953617732528;0.5;0.6; 
death.grid;96.81967150496563;8.81523674310163;3.18;2.3764679673835287;23.85714285714283;21.194435157197585;0.5;0.5; 
death.grid;100.0;0.0;7.0;0.0;100.0;0.0;0;0.7; 
death.grid;93.58276723276725;11.085003043088305;4.03;2.812312215953271;29.14285714285712;21.938690080517105;0.75;0.1; 
death.grid;97.7909090909091;6.64445956983761;3.12;2.0458738964071075;25.571428571428555;23.2374609593375;0.5;0.8; 
death.grid;91.19300699300702;11.6112508905959;7.38;2.283768814919759;85.28571428571429;26.98865975001428;0.25;0.7; 
death.grid;94.40026223776223;9.364683582866306;3.64;2.066494616494318;24.285714285714267;14.069796859708719;0.75;0.2; 
death.grid;96.06243756243757;7.573549734449761;3.38;1.8749933333214817;23.57142857142855;16.827455699128205;0.5;0.7; 
death.grid;94.60754245754248;9.096296343597857;3.75;2.2643983748448506;26.571428571428545;19.693570897475084;0.75;0.4; 
death.grid;92.25642592701416;11.975530435334909;4.07;2.8644545728637416;26.285714285714256;19.66245775324029;0.75;0.6; 
death.grid;92.62185314685316;10.693112099395487;4.04;2.5531157435572718;26.42857142857141;18.884720094860405;0.75;0.3; 
death.grid;92.64147102897104;11.015184522446802;4.1;2.7258026340878017;27.857142857142826;21.98097507632731;0.75;0.5; 
death.grid;97.28977272727273;7.545580759486569;3.21;2.4302057526061454;25.714285714285698;25.314350209527646;0.5;0.9; 
death.grid;93.13185931715347;10.29338682700359;7.0;2.4859605789312105;81.28571428571432;30.216565263552553;0.25;0.9; 
death.grid;90.93906461185875;13.891384290943954;5.01;4.2225466249646075;36.85714285714282;32.146349016677476;0.75;0.8; 
death.grid;93.06048187107014;13.297498689465499;4.31;3.722082750289144;30.571428571428545;25.154218212410235;0.75;0.7; 
death.grid;100.0;0.0;7.0;0.0;100.0;0.0;0;0.9; 
death.grid;87.33500617030032;15.675386865908065;6.06;3.913617252619372;42.857142857142826;27.70102775666474;0.75;0.9; 
example-2x2-house-0.grid;100.0;0.0;3.0;0.0;100.0;0.0;0;0; 
example-2x2-house-0.grid;95.50476190476192;10.726092965044849;3.41;0.861336171305954;100.0;0.0;0.25;0; 
example-2x2-house-0.grid;100.0;0.0;3.0;0.0;100.0;0.0;0;0.2; 
example-2x2-house-0.grid;97.8095238095238;7.940253084607507;3.32;0.7600000000000001;100.0;0.0;0.25;0.2; 
example-2x2-house-0.grid;96.0095238095238;10.06256617842775;3.47;0.8883130078975542;100.0;0.0;0.25;0.4; 
example-2x2-house-0.grid;100.0;0.0;3.0;0.0;100.0;0.0;0;0.1; 
example-2x2-house-0.grid;96.08571428571429;10.746212748469768;3.4;0.9695359714832658;100.0;0.0;0.25;0.1; 
example-2x2-house-0.grid;100.0;0.0;3.0;0.0;100.0;0.0;0;0.6; 
example-2x2-house-0.grid;100.0;0.0;3.0;0.0;100.0;0.0;0;0.3; 
example-2x2-house-0.grid;98.2;5.723635208501674;3.27;0.6140846847137615;100.0;0.0;0.25;0.3; 
example-2x2-house-0.grid;97.77142857142854;7.920489231093238;3.33;0.6936137253543935;100.0;0.0;0.25;0.5; 
example-2x2-house-0.grid;84.7969696969697;18.379990610282007;4.48;1.7405746177627663;100.0;0.0;0.5;0; 
example-2x2-house-0.grid;100.0;0.0;3.0;0.0;100.0;0.0;0;0.5; 
